Frame count,Position,'Rotation,Tracker confidence
65,"x: -0.127357, y: 0.415988, z: -0.0336482","x: -0.149369, y: 0.163756, z: 0.795361, w: -0.564158",3
66,"x: -0.145136, y: 0.414325, z: -0.0317662","x: -0.185439, y: 0.172759, z: 0.776411, w: -0.57702",3
67,"x: -0.165596, y: 0.411937, z: -0.0274805","x: -0.226106, y: 0.182439, z: 0.748005, w: -0.596724",3
68,"x: -0.184919, y: 0.409281, z: -0.0246033","x: -0.263247, y: 0.191895, z: 0.714235, w: -0.619473",3
69,"x: -0.200004, y: 0.404793, z: -0.0231668","x: -0.293774, y: 0.197639, z: 0.683764, w: -0.638046",3
70,"x: -0.215901, y: 0.401216, z: -0.0223058","x: -0.321698, y: 0.199945, z: 0.64683, w: -0.661924",3
71,"x: -0.228381, y: 0.398065, z: -0.0258483","x: -0.332813, y: 0.201338, z: 0.618311, w: -0.682927",3
72,"x: -0.241506, y: 0.395771, z: -0.0275802","x: -0.339786, y: 0.204515, z: 0.598703, w: -0.695898",3
73,"x: -0.25238, y: 0.392777, z: -0.0330823","x: -0.344321, y: 0.205224, z: 0.579982, w: -0.709187",3
74,"x: -0.256795, y: 0.389107, z: -0.0377462","x: -0.355006, y: 0.204083, z: 0.558111, w: -0.721688",3
75,"x: -0.256525, y: 0.389245, z: -0.0377481","x: -0.371505, y: 0.200743, z: 0.537361, w: -0.73002",3
76,"x: -0.252429, y: 0.39274, z: -0.0353101","x: -0.395795, y: 0.195547, z: 0.523793, w: -0.728525",3
77,"x: -0.243188, y: 0.397445, z: -0.0341863","x: -0.397328, y: 0.185471, z: 0.534195, w: -0.722749",3
78,"x: -0.224805, y: 0.400997, z: -0.0326629","x: -0.383322, y: 0.17599, z: 0.566162, w: -0.708204",3
79,"x: -0.196691, y: 0.405612, z: -0.0352805","x: -0.352608, y: 0.174789, z: 0.638422, w: -0.661463",3
80,"x: -0.162259, y: 0.405179, z: -0.0423318","x: -0.292814, y: 0.165852, z: 0.719127, w: -0.607955",3
81,"x: -0.134425, y: 0.398416, z: -0.0508164","x: -0.239389, y: 0.147706, z: 0.775788, w: -0.564826",3
82,"x: -0.103198, y: 0.382562, z: -0.0634073","x: -0.185374, y: 0.139725, z: 0.842251, w: -0.486545",3
83,"x: -0.074912, y: 0.360711, z: -0.0728662","x: -0.149528, y: 0.123179, z: 0.898805, w: -0.393214",2
84,"x: -0.0555828, y: 0.333952, z: -0.0836936","x: -0.12189, y: 0.0839157, z: 0.941379, w: -0.303161",2
85,"x: -0.046643, y: 0.309834, z: -0.0944572","x: -0.104786, y: 0.0562806, z: 0.967397, w: -0.223598",2
86,"x: -0.0420476, y: 0.284892, z: -0.106837","x: -0.0954319, y: 0.0126896, z: 0.984456, w: -0.146897",2
87,"x: -0.0566604, y: 0.268418, z: -0.114296","x: -0.0951065, y: -0.019001, z: 0.989623, w: -0.106016",2
88,"x: -0.0561217, y: 0.255311, z: -0.112519","x: -0.0978256, y: -0.0480894, z: 0.990255, w: -0.086679",2
89,"x: -0.0600913, y: 0.250231, z: -0.114934","x: -0.107691, y: -0.07365, z: 0.987017, w: -0.0936835",2
90,"x: -0.0616903, y: 0.245901, z: -0.11802","x: -0.118624, y: -0.0863044, z: 0.983885, w: -0.102229",2
91,"x: -0.0647913, y: 0.244255, z: -0.120174","x: -0.131823, y: -0.0970967, z: 0.980361, w: -0.109939",2
92,"x: -0.0650783, y: 0.239036, z: -0.123263","x: -0.141532, y: -0.109041, z: 0.977354, w: -0.113397",2
93,"x: -0.0621403, y: 0.234133, z: -0.128382","x: -0.142755, y: -0.119947, z: 0.976005, w: -0.112464",2
94,"x: -0.0592267, y: 0.230109, z: -0.132643","x: -0.138726, y: -0.130638, z: 0.975496, w: -0.10998",2
95,"x: -0.0567945, y: 0.223291, z: -0.132197","x: -0.130264, y: -0.137972, z: 0.97642, w: -0.102951",2
96,"x: -0.0569484, y: 0.218974, z: -0.136354","x: -0.125761, y: -0.144246, z: 0.976441, w: -0.0996975",2
97,"x: -0.0575752, y: 0.214653, z: -0.137545","x: -0.123557, y: -0.148492, z: 0.976445, w: -0.0961152",2
98,"x: -0.0571588, y: 0.211489, z: -0.138166","x: -0.122475, y: -0.153282, z: 0.976079, w: -0.0936712",2
